Code,Course,Sec,Description,Mode of,Book,HR,CR,Days,Time,Room,Professor
,Number,,,Instruction,,,,,,,
1,AFPRL 100.00,1,Intro-Black Politics,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HW  215,"Odinga, Sobukwe"
4,AFPRL 102.00,1,Latino Comm In U.S.,In-Person,,3,3,"TU,F",08:10-09:25,HW  215,"Alvarez, Luis"
5,AFPRL 102.00,2,Latino Comm In U.S.,Partially Online,,3,3,"M,TH",11:10-12:25,HW  603,"Maldonado, Melissa"
14,AFPRL 204.00,1,Afr-Amer Histry 2,Web-Enhanced,,3,3,"M,TH",09:45-11:00,HW  609,"Edey-Rhodes, Joanne"
4479,AFPRL 242.00,1,P R Hist Since 1898,In-Person,,3,3,"TU,F",11:10-12:25,HW  215,"Melendez, Edgardo"
4959,AFPRL 290.15,1,Southrn Africn Pol,In-Person,,3,3,"M,TH",08:10-09:25,HW  116,"Iverson, Erika"
40,AFPRL 290.17,1,Latina Women,Partially Online,,3,3,"TU,F",11:10-12:25,HW  609,"Maldonado, Melissa"
4766,AFPRL 290.17,2,Latina Women,Partially Online,,3,3,"TU,F",11:10-12:25,HW  609,"Maldonado, Melissa"
5208,*AFPRL 290.37,1,Rel Blfs&Pra Af Disa,In-Person,,3,3,"TU,F",11:10-12:25,HW  214,Staff
46,AFPRL 290.48,1,Hist Of The Dom Rep.,In-Person,,3,3,"M,TH",09:45-11:00,HW  215,"Alvarez, Luis"
49,AFPRL 337.00,1,Carib.Wmn Writers,Hybrid,,3,3,"TU,F",11:10-12:25,HW  1734,"Gregg, Veronica"
4771,AFPRL 337.00,2,Carib.Wmn Writers,Hybrid,,3,3,"TU,F",11:10-12:25,HW  1734,"Gregg, Veronica"
50,AFPRL 356.00,1,Latino Lit In Engl,In-Person,,3,3,"M,TH",09:45-11:00,HW  409,"Mundo-Lopez, Hilda"
5205,AFPRL 390.78,1,Hist:Civ Rhts Movt,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HW  1734,"Edey-Rhodes, Joanne"
4594,AFPRL 428.01,1,"Race, Eth&Comm Form",Web-Enhanced,,3,3,"M,TH",11:10-12:25,HW  610,"Torres, Arlene"
64,ANTHC 101.00,1,Intro To Cult Anthro,Web-Enhanced,,3,3,"M,TH",08:10-09:25,HW  511,"Ramsey, Emily"
65,ANTHC 101.00,2,Intro To Cult Anthro,Web-Enhanced,,3,3,TU,09:10-10:00,HN  710,"Edelman, Marc"
,,,,,,,,TU,11:10-12:00,HW  714,"Schneider, Daniel"
,,,,,,,,F,11:10-12:00,HW  714,
66,ANTHC 101.00,3,Intro To Cult Anthro,Web-Enhanced,,3,3,TU,11:10-12:00,HW  714,"Edelman, Marc"
,,,,,,,,TH,09:10-10:00,HN  710,"Eisenberg, Nadja"
,,,,,,,,F,11:10-12:00,HW  714,
68,ANTHC 101.00,4,Intro To Cult Anthro,Web-Enhanced,,3,3,TU,11:10-12:00,HW  714,"Edelman, Marc"
,,,,,,,,TU,15:10-16:00,HN  710,"Schneider, Daniel"
,,,,,,,,F,11:10-12:00,HW  714,
69,ANTHC 101.00,5,Intro To Cult Anthro,Web-Enhanced,,3,3,TU,11:10-12:00,HW  714,"Edelman, Marc"
,,,,,,,,TH,08:10-09:00,HN  710,"Eisenberg, Nadja"
,,,,,,,,F,11:10-12:00,HW  714,
74,ANTHC 101.00,7,Intro To Cult Anthro,Web-Enhanced,,3,3,SA,11:10-14:00,HN  510,"Ly, Linsey"
,,,,,,,,,,,"Hodges, David"
75,ANTHC 101.00,8,Intro To Cult Anthro,Web-Enhanced,,3,3,M,13:10-14:00,HN ASSEM,"Rayner, Jeremy"
,,,,,,,,TU,10:10-11:00,HN  710,"Rosen, Nicole"
,,,,,,,,TH,13:10-14:00,HN ASSEM,
77,ANTHC 101.00,10,Intro To Cult Anthro,Web-Enhanced,,3,3,M,13:10-14:00,HN ASSEM,"Rayner, Jeremy"
,,,,,,,,TH,13:10-14:00,HN ASSEM,"Rosen, Nicole"
,,,,,,,,TH,10:10-11:00,HN  710,
78,ANTHC 101.00,11,Intro To Cult Anthro,Web-Enhanced,,3,3,M,13:10-14:00,HN ASSEM,"Rayner, Jeremy"
,,,,,,,,W,10:10-11:00,HN  710,"Chrisler, Matthew"
,,,,,,,,TH,13:10-14:00,HN ASSEM,
82,ANTHC 101.00,15,Intro To Cult Anthro,Web-Enhanced,,3,3,M,16:10-17:00,HN  C002,"Willis, Kennedy"
,,,,,,,,W,16:10-17:00,HN  C002,"Hoppe, Ajkuna"
,,,,,,,,W,11:10-12:00,HN  710,
84,ANTHC 101.00,84,Intro To Cult Anthro,Web-Enhanced,,3,3,"M,TH",08:10-09:25,HW  511,"Ramsey, Emily"
67,ANTHC 101.00,HC1,Intro To Cult Anthro,Web-Enhanced,,3,3,TU,11:10-12:00,HW  714,"Edelman, Marc"
,,,,,,,,W,12:10-13:00,HN  710,"Barra, Monica"
,,,,,,,,F,11:10-12:00,HW  714,
5144,ANTHC 101.00,SCH1,Intro To Cult Anthro,Web-Enhanced,,3,3,TU,11:10-12:00,HW  714,"Edelman, Marc"
,,,,,,,,W,12:10-13:00,HN  710,"Barra, Monica"
,,,,,,,,F,11:10-12:00,HW  714,
96,ANTHC 303.50,1,Intro:Commty Orgnzng,Web-Enhanced,,3,3,F,11:10-14:00,HN  C114,"Martell, Esperanza"
98,ANTHC 310.00,1,Pol&Power:Anth Persp,Web-Enhanced,,3,3,"M,TH",09:45-11:00,HN  732,"Taylor, Mary"
5280,ANTHC 320.48,1,Asians In Nyc,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HN  732,"Varghese, Linta"
104,*ANTHC 320.56,51,Urban Anthropology,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HN  732,"Canpolat, Ezgi"
5095,ANTHC 401.78,1,Ethno: Near East,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HN  710,"Shannon, Jonathan"
5099,ANTHC 401.96,1,Intrnatnl Migration,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HN  710,"Gil, Rocio"
120,*ANTHC 426.00,1,Sem:Archeo Fld Mthds,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HN  732,"Feeley, Francis"
124,ANTHP 101.00,1,Intro:Human Evol,Web-Enhanced,,6,4,TU,09:10-11:55,HN  730,"Zichello, Julia"
,,,,,,,,W,09:10-12:00,HW  615,"Rothman, Jessica"
125,ANTHP 101.00,2,Intro:Human Evol,Web-Enhanced,,6,4,M,10:10-12:55,HN  730,"Zichello, Julia"
,,,,,,,,W,09:10-12:00,HW  615,"Rothman, Jessica"
126,ANTHP 101.00,3,Intro:Human Evol,Web-Enhanced,,6,4,W,09:10-12:00,HW  615,"Rothman, Jessica"
,,,,,,,,F,12:10-14:55,HN  730,"Halenar, Lauren"
127,ANTHP 101.00,4,Intro:Human Evol,Web-Enhanced,,6,4,TU,13:10-15:55,HN  730,"Rothman, Jessica"
,,,,,,,,W,09:10-12:00,HW  615,"Garrett, Eva"
128,ANTHP 101.00,5,Intro:Human Evol,Web-Enhanced,,6,4,TU,12:45-14:00,HN ASSEM,"Pontzer, Herman"
,,,,,,,,TH,09:10-11:55,HN  730,"Shearer, Brian"
,,,,,,,,F,12:45-14:00,HN ASSEM,
130,ANTHP 101.00,7,Intro:Human Evol,Web-Enhanced,,6,4,TU,12:45-14:00,HN ASSEM,"Halenar, Lauren"
,,,,,,,,F,09:10-11:55,HN  730,"Pontzer, Herman"
,,,,,,,,F,12:45-14:00,HN ASSEM,
139,*ARB 102.00,1,Beginning Arabic 2,Web-Enhanced,,4,4,M,11:10-12:25,HW  408,Staff
,,,,,,,,W,11:10-12:00,HW  408,
,,,,,,,,TH,11:10-12:25,HW  408,
140,ARB 102.00,2,Beginning Arabic 2,Web-Enhanced,,4,4,TU,11:10-12:25,HW  409,"Elinson, Alexander"
,,,,,,,,W,11:10-12:00,HW  409,
,,,,,,,,F,11:10-12:25,HW  409,
141,ARB 202.00,1,Intermed Arabic 2,Web-Enhanced,,3,3,"TU,F",09:45-11:00,HW  409,"Elinson, Alexander"
146,ARTCR 221.00,1,Drawing,In-Person,,4,3,M,09:10-12:50,HN  1600,"Sanchez, Juan"
150,ARTCR 221.00,5,Drawing,In-Person,,4,3,TU,09:10-12:50,HN  1600,"Mitcham, Erika"
153,ARTCR 225.00,1,Graph Arts Workshop,In-Person,,4,3,TU,09:10-12:50,HN 11034,"Panzera, Anthony"
155,ARTCR 225.00,3,Graph Arts Workshop,In-Person,,4,3,W,09:10-12:50,HN 11034,"Duravcevic, Aleksandar"
160,ARTCR 235.00,3,Painting,In-Person,,4,3,F,10:10-13:50,HN 11083,"Powell, Shawn"
161,ARTCR 235.00,4,Painting,In-Person,,4,3,W,09:10-12:50,HN 11083,"Davis, Lisa"
163,ARTCR 235.00,6,Painting,In-Person,,4,3,TU,09:10-12:50,HN 11083,"Crile, Susan"
168,ARTCR 257.00,1,Ceramics,In-Person,,4,3,M,09:10-12:50,TH BSMNT,"Nolen, Thirwell"
181,ARTCR 322.00,2,Advanced Drawing,In-Person,,4,3,W,09:10-12:50,HN  1600,"Panzera, Anthony"
183,ARTCR 326.00,1,Adv Graph Arts Wkshp,In-Person,,4,3,TU,09:10-12:50,HN 11034,"Panzera, Anthony"
185,ARTCR 326.00,3,Adv Graph Arts Wkshp,In-Person,,4,3,W,09:10-12:50,HN 11034,"Duravcevic, Aleksandar"
190,ARTCR 336.00,3,Advanced Painting,In-Person,,4,3,F,10:10-13:50,HN 11083,"Powell, Shawn"
191,ARTCR 336.00,4,Advanced Painting,In-Person,,4,3,W,09:10-12:50,HN 11083,"Davis, Lisa"
193,ARTCR 336.00,6,Advanced Painting,In-Person,,4,3,TU,09:10-12:50,HN 11083,"Crile, Susan"
202,*ARTCR 360.28,1,Digital Photography,In-Person,,3,3,TU,09:10-11:50,HN 11005,"Tabiban, Fabian"
4867,ARTCR 360.40,1,Digtl:Color Photogrp,In-Person,,3,3,TU,10:10-12:50,HN 11003,"Murray, Katie"
219,ARTCR 459.00,1,Prof Exper Art I,In-Person,,3,6.5,M,10:10-13:50,FA  TBA,Staff
220,ARTCR 460.00,1,Prof Exper Art (II),In-Person,,3,6.5,M,10:10-13:50,FA  TBA,Staff
227,ARTH 111.00,1,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,W,10:10-11:00,HN  1503,
228,ARTH 111.00,2,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,W,10:10-11:00,HN  1602,
229,ARTH 111.00,3,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,TH,10:10-11:00,HN  1503,
230,ARTH 111.00,4,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,TH,10:10-11:00,HN  1602,
